Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-05-22 12:31:00,32A,73766,SU 1364,2022-05-22 12:31:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-22 14:38:00,32A,73759,SU 1368,2022-05-22 14:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-22 08:48:00,32A,73769,SU 1366,2022-05-22 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-23 08:50:00,32A,73766,SU 1366,2022-05-23 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-23 12:30:00,32A,73179,SU 1364,2022-05-23 12:30:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-23 14:35:00,32A,73758,SU 1368,2022-05-23 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-24 08:46:00,32A,73179,SU 1366,2022-05-24 08:46:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-24 14:35:00,32A,73768,SU 1368,2022-05-24 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-24 12:32:00,32A,73766,SU 1364,2022-05-24 12:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-25 08:50:00,32A,73772,SU 1366,2022-05-25 08:50:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-26 08:44:00,32A,73750,SU 1366,2022-05-26 08:44:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-25 12:33:00,32A,73762,SU 1364,2022-05-25 12:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-25 14:35:00,32A,73753,SU 1368,2022-05-25 14:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-05-26 14:33:00,32A,73759,SU 1368,2022-05-26 14:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
