EntryFlight_Time,TOWN_TO,Airline_Name,Lat_from,Lat_to,Lon_from,Lon_to,count
2022-05-05 00:47:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,91
2022-05-05 01:06:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,30
2022-05-05 01:07:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,49
2022-05-05 01:14:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,38
2022-05-05 01:29:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,88
2022-05-05 01:39:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,39
2022-05-05 02:03:00,Дамаск,Cham Wings Airlines,55.755864,33.524142,37.617698,36.318546,82
2022-05-05 02:05:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,76
2022-05-05 06:26:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,10
2022-05-05 06:45:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,1
2022-05-05 07:00:00,Мурманск,Aeroflot,55.755864,68.970663,37.617698,33.074918,3
2022-05-05 07:30:00,Мин.Воды,Aeroflot,55.755864,44.208806,37.617698,43.13834,1
2022-05-05 07:43:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,2
2022-05-05 07:49:00,Архангельск,Aeroflot,55.755864,64.539911,37.617698,40.515762,1
2022-05-05 08:12:00,Грозный,Aeroflot,55.755864,43.318366,37.617698,45.692421,4
2022-05-05 08:26:00,Минск,Aeroflot,55.755864,53.902284,37.617698,27.561831,1
2022-05-05 08:41:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,2
2022-05-05 08:50:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,1
2022-05-05 16:56:00,Хабаровск,Aeroflot,55.755864,48.480229,37.617698,35.071917,5
2022-05-06 00:00:00,Орск,Nordwind Airlines,55.755864,51.2293,37.617698,58.474675,154
2022-05-06 00:12:00,Белград,JAT Airways,55.755864,44.816239,37.617698,20.460469,172
2022-05-06 00:17:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,102
2022-05-06 00:21:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,180
2022-05-06 00:25:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,77
2022-05-06 00:28:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,101
2022-05-06 00:43:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,58
2022-05-06 00:45:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,68
2022-05-06 00:49:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,72
2022-05-06 01:02:00,Екатеринбург,Nordwind Airlines,55.755864,56.838011,37.617698,60.597474,124
2022-05-06 01:08:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,45
2022-05-06 01:11:00,Сочи,Rossiya,55.755864,43.585472,37.617698,39.723098,136
2022-05-06 01:15:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,41
2022-05-06 01:20:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,64
2022-05-06 01:41:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,41
2022-05-06 01:57:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,13
2022-05-06 02:27:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,92
2022-05-06 02:57:00,Анталия,Corendon Airlines,55.755864,36.887099,37.617698,30.703249,3
2022-05-06 05:43:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,1
2022-05-06 06:24:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,2
2022-05-06 07:08:00,Анталия,Aeroflot,55.755864,36.887099,37.617698,30.703249,2
2022-05-06 07:25:00,Бишкек,Aeroflot,55.755864,42.875969,37.617698,74.603701,2
2022-05-06 08:04:00,Грозный,Aeroflot,55.755864,43.318366,37.617698,45.692421,2
2022-05-06 08:24:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,2
2022-05-06 08:30:00,Стамбул,Aeroflot,55.755864,41.011218,37.617698,28.978178,1
2022-05-06 08:32:00,Минск,Aeroflot,55.755864,53.902284,37.617698,27.561831,2
2022-05-06 11:19:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,1
2022-05-06 17:40:00,Владивосток,Aeroflot,55.755864,43.115542,37.617698,131.885494,1
2022-05-07 00:00:00,Абакан,Aeroflot,55.755864,53.721152,37.617698,91.442396,80
2022-05-07 00:08:00,Орск,Nordwind Airlines,55.755864,51.2293,37.617698,58.474675,171
2022-05-07 00:14:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,141
2022-05-07 00:20:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,147
2022-05-07 00:24:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,193
2022-05-07 00:25:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,136
2022-05-07 00:45:00,Бишкек,Aeroflot,55.755864,42.875969,37.617698,74.603701,171
2022-05-07 00:46:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,109
2022-05-07 00:50:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,125
2022-05-07 00:52:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,98
2022-05-07 01:01:00,Анталия,Pegas Fly,55.755864,36.887099,37.617698,30.703249,439
2022-05-07 01:08:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,84
2022-05-07 01:19:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,87
2022-05-07 01:24:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,94
2022-05-07 01:39:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,41
2022-05-07 01:41:00,Екатеринбург,Nordwind Airlines,55.755864,56.838011,37.617698,60.597474,40
2022-05-07 02:00:00,Белград,JAT Airways,55.755864,44.816239,37.617698,20.460469,116
2022-05-07 02:12:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,25
2022-05-07 02:25:00,Казань,Nordwind Airlines,55.755864,55.796127,37.617698,49.106414,20
2022-05-07 06:09:00,Самара,Aeroflot,55.755864,53.195878,37.617698,50.100202,1
2022-05-07 06:12:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,3
2022-05-07 07:00:00,Мурманск,Aeroflot,55.755864,68.970663,37.617698,33.074918,1
2022-05-07 08:25:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,2
2022-05-07 08:29:00,Сыктывкар,Aeroflot,55.755864,61.668797,37.617698,50.836497,1
2022-05-07 08:47:00,Ставрополь,Aeroflot,55.755864,45.043317,37.617698,41.96911,1
2022-05-07 09:14:00,Уфа,Aeroflot,55.755864,54.735152,37.617698,55.958736,2
2022-05-07 09:31:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,17
2022-05-07 12:21:00,Ставрополь,Aeroflot,55.755864,45.043317,37.617698,41.96911,1
2022-05-07 12:52:00,Нижневартовск,Aeroflot,55.755864,60.938545,37.617698,76.558902,7
2022-05-08 00:20:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,77
2022-05-08 00:21:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,187
2022-05-08 00:23:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,93
2022-05-08 00:25:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,80
2022-05-08 00:37:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,91
2022-05-08 00:38:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,61
2022-05-08 00:49:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,71
2022-05-08 00:49:00,Ош,Aeroflot,55.755864,40.517525,37.617698,72.80557,166
2022-05-08 01:06:00,Орск,Nordwind Airlines,55.755864,51.2293,37.617698,58.474675,145
2022-05-08 01:11:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,31
2022-05-08 01:14:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,83
2022-05-08 01:17:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,62
2022-05-08 01:32:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,77
2022-05-08 01:33:00,Бишкек,Aeroflot,55.755864,42.875969,37.617698,74.603701,120
2022-05-08 01:39:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,30
2022-05-08 01:52:00,Екатеринбург,Nordwind Airlines,55.755864,56.838011,37.617698,60.597474,52
2022-05-08 01:57:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,13
2022-05-08 03:00:00,Анталия,Pegas Fly,55.755864,36.887099,37.617698,30.703249,56
2022-05-08 03:27:00,Анталия,Corendon Airlines,55.755864,36.887099,37.617698,30.703249,4
2022-05-08 05:40:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,1
2022-05-08 06:24:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,6
2022-05-08 06:42:00,Мурманск,Aeroflot,55.755864,68.970663,37.617698,33.074918,2
2022-05-08 07:04:00,Анталия,Aeroflot,55.755864,36.887099,37.617698,30.703249,1
2022-05-08 07:59:00,Архангельск,Aeroflot,55.755864,64.539911,37.617698,40.515762,1
2022-05-08 08:04:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,2
2022-05-08 08:07:00,Грозный,Aeroflot,55.755864,43.318366,37.617698,45.692421,1
2022-05-08 08:40:00,Ставрополь,Aeroflot,55.755864,45.043317,37.617698,41.96911,1
2022-05-08 09:03:00,Казань,Aeroflot,55.755864,55.796127,37.617698,49.106414,1
2022-05-08 11:56:00,Астрахань,Aeroflot,55.755864,46.347614,37.617698,48.030178,1
2022-05-08 16:47:00,Петропавловск-Кмч.,Aeroflot,55.755864,53.024265,37.617698,58.643503,3
2022-05-09 00:16:00,Магнитогорск,Aeroflot,55.755864,53.407163,37.617698,58.980291,46
2022-05-09 00:27:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,44
2022-05-09 00:35:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,56
2022-05-09 00:38:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,95
2022-05-09 00:39:00,Белград,JAT Airways,55.755864,44.816239,37.617698,20.460469,179
2022-05-09 00:41:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,89
2022-05-09 00:49:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,78
2022-05-09 00:52:00,Ош,Aeroflot,55.755864,40.517525,37.617698,72.80557,164
2022-05-09 00:58:00,Екатеринбург,Nordwind Airlines,55.755864,56.838011,37.617698,60.597474,128
2022-05-09 01:06:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,67
2022-05-09 01:12:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,95
2022-05-09 01:15:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,45
2022-05-09 01:27:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,34
2022-05-09 01:38:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,31
2022-05-09 02:02:00,Новый Уренгой,Aeroflot,55.755864,66.084539,37.617698,76.680956,39
2022-05-09 02:11:00,Сочи,Rossiya,55.755864,43.585472,37.617698,39.723098,40
2022-05-09 06:15:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,2
2022-05-09 06:17:00,Калининград,Aeroflot,55.755864,54.710162,37.617698,20.510137,2
2022-05-09 06:49:00,Мурманск,Aeroflot,55.755864,68.970663,37.617698,33.074918,2
2022-05-09 07:11:00,Анталия,Aeroflot,55.755864,36.887099,37.617698,30.703249,6
2022-05-09 07:24:00,Бишкек,Aeroflot,55.755864,42.875969,37.617698,74.603701,1
2022-05-09 07:40:00,Махачкала,Aeroflot,55.755864,42.9831,37.617698,47.504745,1
2022-05-09 08:05:00,Грозный,Aeroflot,55.755864,43.318366,37.617698,45.692421,4
2022-05-09 08:11:00,Пермь,Aeroflot,55.755864,58.010455,37.617698,56.229443,1
2022-05-09 08:19:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,1
2022-05-09 08:26:00,Минск,Aeroflot,55.755864,53.902284,37.617698,27.561831,1
2022-05-09 08:45:00,Екатеринбург,Aeroflot,55.755864,56.838011,37.617698,60.597474,1
2022-05-09 11:49:00,Стамбул,Aeroflot,55.755864,41.011218,37.617698,28.978178,2
2022-05-10 00:18:00,Новосибирск,Nordavia,55.755864,55.030204,37.617698,82.92043,175
2022-05-10 00:27:00,Санкт-Петербург,Aeroflot,55.755864,59.938955,37.617698,30.315644,59
2022-05-10 00:40:00,Ханты Мансийск,Aeroflot,55.755864,61.003184,37.617698,69.018911,108
2022-05-10 00:46:00,Красноярск,Aeroflot,55.755864,56.010569,37.617698,92.852572,110
2022-05-10 00:50:00,Новосибирск,Aeroflot,55.755864,55.030204,37.617698,82.92043,113
2022-05-10 01:11:00,Тюмень,Aeroflot,55.755864,57.152985,37.617698,65.541227,58
2022-05-10 01:11:00,Иркутск,Aeroflot,55.755864,52.289588,37.617698,104.280606,55
2022-05-10 01:12:00,Оренбург,Aeroflot,55.755864,51.768205,37.617698,55.096964,61
2022-05-10 01:25:00,Челябинск,Nordwind Airlines,55.755864,55.159902,37.617698,61.402554,73
2022-05-10 01:27:00,Сочи,Aeroflot,55.755864,43.585472,37.617698,39.723098,53
2022-05-10 01:28:00,Сургут,Aeroflot,55.755864,61.241778,37.617698,73.393032,107
2022-05-10 01:35:00,Белград,JAT Airways,55.755864,44.816239,37.617698,20.460469,115
2022-05-10 01:37:00,Нижневартовск,Aeroflot,55.755864,60.938545,37.617698,76.558902,38
